Consecutivo de pregunta;Pregunta;Variable homologada;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2000;1999;1998;;;
218;¿Qué tan satisfecho(a) está usted en general con el servicio de televisión por cable que recibe en su hogar;P218;SP9;SP9;SP9;P53;P53;;;;;;;;;;;;
219;¿Por qué razón califica así la satisfacción con el servicio de televisión por cable?12;P219;;;;;P54_12;;;;;;;;;;;;
220;¿Por qué razón califica así la satisfacción con el servicio de televisión por cable?3;P220;;;;;P54_3;;;;;;;;;;;;
221;¿Por qué razón califica así la satisfacción con el servicio de televisión por cable?45;P221;;;;;P54_45;;;;;;;;;;;;
222;¿Qué tan satisfecho(a) está usted en general con la atención y el servicio que le prestan los bancos y las entidades financieras ;P222;SP10;SP10;SP10;P55;P55;;;;;;;;;;;;
223;¿Qué tan satisfecho(a) está usted en general con el barrio donde vive? ;P223;VS0;;;;;;;;;;;;;;;;
224;"Algo satisfecho; Muy satisfecho";P224;VS0A_45;;;;;;;;;;;;;;;;
225;"Muy insatisfecho; Algo insatisfecho; Ni satisfecho ni insatisfecho";P225;VS0A_123;;;;;;;;;;;;;;;;
226;Dígame, ¿en general las vías de acceso a su barrio están pavimentadas?;P226;;;;;;P38;P38;P38;P38;P38;P39;v53;;v52;;;
227;¿Qué tan satisfecho(a) está usted en general con el estado de las vías en su barrio ;P227;VS2;VS2;VS2;P56;P56;P39;P39;P39;P39;P39;P40;v54;;v53;;;
228;¿Por qué razón califica así la satisfacción con el estado de las vías?12;P228;;;;;P57_12;P40A;P40A;P40A;P40;P40;PC41;v55;;v54;;;
229;En general, su barrio tiene iluminación pública ?;P229;;;;;;;;;;;;v64;;v63;;;
230;Cómo calificaría Ud. la iluminación pública de su barrio de 1 a 5 siendo 1 muy malo y 5 muy bueno;P230;;;;;;;;;;;;v65;;v64;;;
231;Podría decirme, por qué razón califica así la iluminación pública de su barrio ? ;P231;;;;;;;;;;;;v66;;v65;;;
232;¿Por qué razón califica así la satisfacción con el estado de las vías?3;P232;;;;;P57_3;;;;;;;;;;;;
233;¿Por qué razón califica así la satisfacción con el estado de las vías?45;P233;;;;;P57_45;;;;;;;;;;;;
234;¿Cree usted que el estado de las vías DE SU BARRIO ha mejorado, ha empeorado o sigue igual con respecto al 2006? ;P234;;;;;;P40C;P40C;;;;;;;;;;
235;En general, ¿su barrio tiene alumbrado público? ;P235;;;;;;P41;P41;P41;P41;P41;P42;;;;;;
236;¿Qué tan satisfecho(a) está usted en general con el alumbrado público de su barrio ;P236;VS3;VS3;VS3;P58;P58;P42;P42;P42;P42;P42;P43;;;;;;
237;¿Por qué razón califica así la satisfacción con el alumbrado público?;P237;;;;;P59_12;P43A;P43A;P43A;P43;P43;P44;;;;;;
238;¿Por qué razón califica así la satisfacción con el alumbrado público?;P238;;;;;P59_3;;;;;;;;;;;;
239;¿Por qué razón califica así la satisfacción con el alumbrado público?;P239;;;;;P59_45;;;;;;;;;;;;
240;¿Su barrio tiene parques y zonas verdes públicas? ;P240;;;;;;P44;P44;P44;P44;P44;P45;v76;;v75;;;
241;¿Qué tan satisfecho(a) está usted en general con los parques y zonas verdes públicas de su barrio;P241;VS4;VS4;VS4;P60;P60;P45;P45;P45;P45;P45;P46;v77;;v76;;;
242;¿Por qué razón califica así la satisfacción con los parques y zonas verdes públicas? 12;P242;;VS4_12;VS4A_12;P61A;P61_12;P46A;P46A;P46A;P46;P46;P47;v78;;v77;;;
243;¿Por qué razón califica así la satisfacción con los parques y zonas verdes públicas? 3;P243;;VS4_3;VS4A_3;P61B;P61_3;;;;;;;;;;;;
244;¿Por qué razón califica así la satisfacción con los parques y zonas verdes públicas? 45;P244;;VS4_45;VS4A_45;P61C;P61_45;;;;;;;;;;;;
245;¿Qué tan satisfecho(a) está usted en general con los andenes y separadores de las calles en su barrio;P245;VS5;VS5;VS5;P62;P62;P47;P47;P47;P47;P47;P48;v89;;v88;;;
246;¿Por qué razón califica así la satisfacción con los andenes y separadores de las calles? 12;P246;;;;;P63_12;P48;P48;P48;P48;P48;P49;v90;;v89;;;
247;por qué razón califica así el estado de los andenes y separadores de las calles en su barrio ?;P247;;;;;;;;;;;;v104;;v90;;;
248;Desde el  1o de julio de 1.999 se han construido barrios piratas cerca de su barrio ?;P248;;;;;;;;;;;;v104;;v103;;;
249;En general, en su barrio se respetan las normas de urbanismo, que prohiben construir en jardines, limitan la altura de las edificaciones, etc.?;P249;;;;;;;;;;;;v105;;v104;;;
250;De las siguientes normas, cuáles diría Ud. que se irrespetan más en su barrio ?;P250;;;;;;;;;;;;v106;;v105;;;
251;Ud. cree que su alcaldía local está haciendo algo para controlar estos problemas ?;P251;;;;;;;;;;;;v114;;v113;;;
252;¿Por qué razón califica así la satisfacción con los andenes y separadores de las calles? 3;P252;;;;;P63_3;;;;;;;;;;;;
253;¿Por qué razón califica así la satisfacción con los andenes y separadores de las calles? 45;P253;;;;;P63_45;;;;;;;;;;;;
254;Podría decirme si usted tiene vivienda;P254;;;;;;P48A;P48A;P48A;P48A;;;;;;;;
255;¿Cuál ha sido la mayor dificultad para que Ud. y su familia accedan a una vivienda propia?;P255;;;;;;P48C;P48C;P48C;;;;;;;;;
256;¿Usted vive en una vivienda _____? ;P256;VS6;VS6;VS6;P64;P64;;;;;;;;;;;;
257;¿Por qué no tiene vivienda propia? ;P257;VS6A;;;;P65;;;;;;;;;;;;
258;¿qué tan insatisfecho o satisfecho se siente usted con la vivienda en la que habita? ;P258;VS7;;;;;;;;;;;;;;;;
259;"Muy insatisfecho; Algo insatisfecho;";P259;VS7A_12;;;;;;;;;;;;;;;;
260;Ni satisfecho ni insatisfecho;P260;VS7A_3;;;;;;;;;;;;;;;;
261;"Algo satisfecho; Muy satisfecho";P261;VS7A_45;;;;;;;;;;;;;;;;
262;…para arrendar está adecuada a la capacidad económica suya y de su familia ó;P262;;;;;;P48B1_A;P48B1_A;P48B1_A;P48B_A;;;;;;;;
263;La oferta de vivienda para arrendar está por encima de la capacidad económica suya y de su familia.;P263;;;;;;P48B1_B;P48B1_B;P48B1_B;P48B_B;;;;;;;;
264;La oferta de vivienda en la ciudad para COMPRAR está adecuada a la capacidad económica suya y de su familia;P264;;VS7_1;VS7_1;P66A;P66A;P48B_A;P48B_A;P48B_A;P48C;;;;;;;;
265;Hay suficiente oferta de vivienda para que familias como la suya la puedan COMPRAR;P265;;VS7_2;VS7_2;P66B;P66B;P48B_B;P48B_B;P48B_B;;;;;;;;;
266;La oferta de vivienda en la ciudad para ARRENDAR está adecuada a la capacidad económica suya y de su familia;P266;;VS7_3;VS7_3;P66C;;;;;;;;;;;;;
267;Hay suficiente oferta de vivienda para que familias como la suya la puedan ARRENDAR;P267;;VS7_4;VS7_4;P66D;;;;;;;;;;;;;
268;¿qué tan seguro se siente Usted en su barrio?;P268;;VS8;VS8;P67;P67;P49;P49;P49;P49;P49;P50;v115;;v114;;;
269;, ¿por qué razón califica así la seguridad de su barrio? 13;P269;;;;;;P50A;P50A;P50A;P50_1;P50_1;P51_1;;;;;;
270;, ¿por qué razón califica así la seguridad de su barrio? 45;P270;;;;;;;;;;;P51_2;;;;;;
271;Pandillas juveniles;P271;;;;;;;;;;;;v116;;v115;;;
272;Atracos a bancos o tiendas;P272;;;;;;;;;;;;v117;;v116;;;
273;Robos a casas y/o apartamentos;P273;;;;;;;;;;;;v118;;v117;;;
274;Atracos a las personas;P274;;;;;;;;;;;;v119;;v118;;;
275;Violaciones;P275;;;;;;;;;;;;v120;;v119;;;
276;Homicidios;P276;;;;;;;;;;;;v121;;v120;;;
277;Robo de autos;P277;;;;;;;;;;;;v122;;v121;;;
278;¿Considerando que está insatisfecho con su vivienda actual, dígame si desde enero de este año hasta la fecha han buscado una nueva vivienda para su hogar, bien sea para comprar o para arrendar? ;P278;VS9;;;;;;;;;P50_2;;;;;;;v123
279;¿Por qué no han cambiado de vivienda aún?;P279;VS10;;;;;;;;;;;;;;;;
280;¿qué tan seguro se siente Usted en su barrio?;P280;VS12;VS10A;;;;;;;;;;;;;;;
281;¿cuáles son los problemas más graves en relación con la seguridad que se presentan en su barrio?;P281;VS13;VS9;VS9;P68;P68;P51;P51;P51;P51;P51;P52;;;;;;
282;Cuál de las siguientes acciones considera usted que es la más importante para mejorar la seguridad en su barrio;P282;;VS10;VS10;P69;P69;P52;P52;P52;P52;P52;PC53;;;;;;
283;Quisiera que por un momento usted pensara en los que considera que son los problemas más graves que tiene las ciudad en este momento. ¿Cuáles cree usted que son?;P283;;;;;;;;;;;P54;;;;;;
284;Usted o algún miembro de su hogar ha sido victima de algún delito en el último año?;P284;;;;;;;;P52A;;;;;;;;;
285;¿qué tanto cree Usted que la policía está realizando acciones para lograr que este barrio sea más seguro?;P285;;VS10A;VS10A;;;;;;;;;;;;;;
286;¿Conoce el Plan Nacional de Vigilancia Comunitaria por Cuadrantes de la Policía Nacional? ;P286;;VS10C;;;;;;;;;;;;;;;
287;¿qué tanto cree Usted que este Plan va a solucionar el problema de inseguridad en los barrios? ;P287;;VS10D;;;;;;;;;;;;;;;
288;¿qué tanto cree Usted que la alcaldíaestá realizando acciones para lograr que este barrio sea más seguro? ;P288;;VS10B;;;;;;;;;;;;;;;
289;¿qué tanto cree Usted que LAS AUTORIDADES DE LA CIUDAD están realizando acciones para lograr que este barrio sea más seguro?;P289;VS14;;;;;;;;;;;;;;;;
290;Durante el último año, ¿usted ha sido víctima de algún delito en Bogotá?;P290;VS15;VS11;VS11;;;;;P52B;;;;;;;;;
291;Y después de ser víctima de este delito, ¿qué hizo? ;P291;;;;;;;;P52C;;;;;;;;;
292;¿cuál?;P292;;;;;;;;P52D;;;;;;;;;
293;¿De qué delito fue víctima? ;P293;VS16;VS12;VS12;;;;;;;;;;;;;;
294;¿Qué tipo de robo fue? ;P294;VS16A;VS12A;VS12A;;;;;;;;;;;;;;
295;¿Qué tipo de robo fue? ;P295;VS16B;VS12B;VS12B;;;;;;;;;;;;;;
296;¿Denunció este delito? ;P296;VS17;VS13;VS13;;;;;;;;;;;;;;
297;¿Por qué ___ (SI) denunció? ;P297;VS17A_SI;VS13A_SI;VS13A_SI;;;;;;;;;;;;;;
298;¿Por qué ___ (NO) denunció? ;P298;VS17A_NO;VS13A_NO;VS13A_NO;;;;;;;;;;;;;;
299;Usted considera que la probabilidad de que un delito sea sancionado en Bogotá es ;P299;VS18;VS14;;;;;;;;;;;;;;;
300;¿qué tanto el funcionamiento de la justicia en Bogotá está ayudando a reducir la criminalidad en la ciudad?;P300;VS19;VS15;VS15;;;;;;;;;;;;;;
301;¿Podría decirme por qué tiene esa opinión? VS16_12;P301;;VS16_12;VS16;;;;;;;;;;;;;;
302;¿Podría decirme por qué tiene esa opinión? VS16_3;P302;;VS16_3;;;;;;;;;;;;;;;
303;¿Podría decirme por qué tiene esa opinión? VS16_45;P303;;VS16_45;;;;;;;;;;;;;;;
304;¿cuál o cuáles de las siguientes acciones realizó durante el último año?;P304;PC1;;;;;;;;;;;;;;;;
305;¿Durante el último año usted  llevó a cabo alguna(s) de las siguientes acciones para apoyar a otras personas, ideas o hechos que lo motivaron? ;P305;PC2;;;;;;;;;;;;;;;;
306;¿qué tan seguido se reúne con otros para resolver un problema de la comunidad?;P306;;PC1;;;P71;;;;;;;;;;;;
307;En el barrio donde usted vive, la gente se reúne con otros para resolver un problema de la comunidad cuando ;P307;;PC2;;;P72;;;;;;;;;;;;
308;Asociaciones de Usuarios;P308;;;;;P73A;P53A_3_20;;P53A_A;;;;;;;;;
309; Junta de Acción Comunal;P309;;;;;P73B;P53A_3_18;;P53A_B;;;;;;;;;
310;Asociaciones de padres de familia;P310;;;;;P73C;P53A_3_21;;P53A_C;;;;;;;;;
311;Asociaciones Cívicas y comunitarias de su barrio;P311;;;;;P73D;P53A_3_22;;P53A_D;;;;;;;;;
312;Consejos locales de planeación;P312;;;;;P73E;P53A_3_23;;P53A_E;;;;;;;;;
313;Consejos locales de cultura;P313;;;;;P73F;P53A_3_24;;P53A_F;;;;;;;;;
314;Consejos locales de juventud;P314;;;;;P73G;P53A_3_25;;P53A_G;;;;;;;;;
315;Consejos locales de política social ;P315;;;;;P73H;P53A_3_26;;P53A_H;;;;;;;;;
316;Consejos locales de obras;P316;;;;;P73I;P53A_3_27;;P53A_I;;;;;;;;;
317;Asociación de madres comunitarias;P317;;;;;P73J;P53A_3_28;;P53A_J;;;;;;;;;
318;Consejos tutelares de los derechos de la niñez;P318;;;;;P73K;P53A_3_29;;P53A_K;;;;;;;;;
319;Comités Locales de Control Social al Sistema Distrital de Parques;P319;;;;;P73L;P53A_3_30;;P53A_L;;;;;;;;;
320;Otro Cual?;P320;;;;;;;;P53A_89;;;;;;;;;
321;Frentes de Seguridad Local;P321;;;;;P73M;P53A_3_32;;;;;;;;;;;
322;Asociaciones de propiedad horizontal;P322;;;;;P73N;;;;;;;;;;;;
323;Veedurías ciudadanas;P323;;;;;P73O;;;;;;;;;;;;
324;Asociaciones de Usuarios;P324;;;;;P74A;P53A_4_20;;;;;;;;;;;
325; Junta de Acción Comunal;P325;;;;;P74B;P53A_4_18;;;;;;;;;;;
326;Asociaciones de padres de familia;P326;;;;;P74C;P53A_4_21;;;;;;;;;;;
327;Asociaciones Cívicas y comunitarias de su barrio;P327;;;;;P74D;P53A_4_22;;;;;;;;;;;
328;Consejos locales de planeación;P328;;;;;P74E;P53A_4_23;;;;;;;;;;;
329;Consejos locales de cultura;P329;;;;;P74F;P53A_4_24;;;;;;;;;;;
330;Consejos locales de juventud;P330;;;;;P74G;P53A_4_25;;;;;;;;;;;
331;Consejos locales de política social ;P331;;;;;P74H;P53A_4_26;;;;;;;;;;;
332;Consejos locales de obras;P332;;;;;P74I;P53A_4_27;;;;;;;;;;;
333;Asociación de madres comunitarias;P333;;;;;P74J;P53A_4_28;;;;;;;;;;;
334;Consejos tutelares de los derechos de la niñez;P334;;;;;P74K;P53A_4_29;;;;;;;;;;;
335;Comités Locales de Control Social al Sistema Distrital de Parques;P335;;;;;P74L;P53A_4_30;;;;;;;;;;;
336;Frentes de Seguridad Local;P336;;;;;P74M;P53A_4_32;;;;;;;;;;;
337;Asociaciones de propiedad horizontal;P337;;;;;P74N;;;;;;;;;;;;
338;Veedurías ciudadanas;P338;;;;;P74O;;;;;;;;;;;;
339;¿cuál considera que es el principal problema del organismo de participación al que Usted pertenece? ;P339;;;;;P75;;;;;;;;;;;;
340;¿cuál considera que es el principal problema del organismo de participación al que Usted pertenece? ;P340;;;;;P76;;;;;;;;;;;;
341;¿Usted pertenece a algún grupo u organización comunitaria? ;P341;;PC3;PC3;P71A;;;;;;;;;;;;;
342;¿Cuál es la temática o asunto de que se ocupa su organización?;P342;;;;P72A;;;;;;;;;;;;;
343;¿Por qué cree que otras personas si participan de grupos y organizaciones comunitarias? ;P343;;;;P73A;;;;;;;;;;;;;
344;Ha logrado reducir el clientelismo y la politiquería?;P344;;;;P77A;P77A;;;;;;;;;;;;
345;Ha logrado reducir la corrupción?;P345;;;;P77B;P77B;;;;;;;;;;;;
346;Ha ayudado a resolver los problemas de la gente?;P346;;;;P77C;P77C;;;;;;;;;;;;
347;Ha creado mayor interés de la gente?;P347;;;;P77D;P77D;;;;;;;;;;;;
348;Le ha permitido a la gente influir en las decisiones de las autoridades locales?;P348;;;;P77E;P77E;;;;;;;;;;;;
349;Ha fortalecido el poder de los políticos?;P349;;;;P77F;P77F;;;;;;;;;;;;
350;Ha fortalecido a las organizaciones sociales (Juntas de Acción Comunal, grupos de mujeres, de jóvenes, etc.)?;P350;;;;P77G;P77G;;;;;;;;;;;;
351;Ha permitido a las organizaciones sociales y a sus líderes hablar más de igual a igual con las autoridades locales?;P351;;;;P77H;P77H;;;;;;;;;;;;
352;Ha sido manipulada por la politiquería y la corrupción;P352;;;;P77I;;;;;;;;;;;;;
353;La administración de Samuel Moreno se ha preocupado por promover la participación ciudadana en Bogotá.;P353;;;;P78_A;;;;;;;;;;;;;
354;La administración de Samuel Moreno ha hecho mucho por la participación, más que lo que han realizado otros alcaldes.;P354;;;;P78_B;;;;;;;;;;;;;
355;Sin la ayuda de la Alcaldía Distrital o local  es muy difícil que  los ciudadanos participen.;P355;;;;P78_C;;;;;;;;;;;;;
356;"La actual administración ha cumplido con su eslogan de campaña ""Ahora decidimos juntos"".";P356;;;;P78_D;;;;;;;;;;;;;
357;¿Qué propone usted para que los ciudadanos y ciudadanas, a través de su participación, puedan tener mayor influencia en las decisiones de las autoridades distritales y locales?;P357;;;;P78A;;;;;;;;;;;;;
358;¿Cuáles de las razones que están en esta tarjeta son las principales para que usted NO participe en ninguna organización comunitaria? ;P358;;PC4;PC4;;;;;;;;;;;;;;
359;ha logrado reducir el clientelismo y la politiquería?;P359;;PC6_1;PC6_1;;;;;;;;;;;;;;
360;ha logrado reducir la corrupción?;P360;;PC6_2;PC6_2;;;;;;;;;;;;;;
361;ha ayudado a resolver los problemas de la gente?;P361;;PC6_3;PC6_3;;;;;;;;;;;;;;
362;ha creado mayor interés de la gente?;P362;;PC6_4;PC6_4;;;;;;;;;;;;;;
363;le ha permitido a la gente influir en las decisiones de las autoridades locales?;P363;;PC6_5;PC6_5;;;;;;;;;;;;;;
364;ha fortalecido el poder de los políticos?;P364;;PC6_6;PC6_6;;;;;;;;;;;;;;
365;ha fortalecido a las organizaciones sociales, Juntas de Acción Comunal, grupos de mujeres, de jóvenes, etc.?;P365;;PC6_7;PC6_7;;;;;;;;;;;;;;
366;ha permitido a las organizaciones sociales y a sus líderes y lideresas hablar más de igual a igual con las autoridades locales?;P366;;PC6_8;PC6_8;;;;;;;;;;;;;;
367;ha sido manipulada por la politiquería y la corrupción?;P367;;PC6_9;PC6_9;;;;;;;;;;;;;;
368;¿cuál considera qué es la principal razón que lo motiva a participar? ;P368;PC3;;;;;;;;;;;;;;;;
369;¿Usted votó en la pasada elección para elegir Alcalde, Concejales y Ediles? ;P369;PC4;;;;;;;;;;;;;;;;
370;¿Cuál fue la razón principal por la cual usted voto en las pasadas elecciones? ;P370;PC5;;;;;;;;;;;;;;;;
371;¿Cuál fue la razón principal por la cual usted NO voto en las pasadas elecciones? ;P371;PC6;;;;;;;;;;;;;;;;
372;¿Usted forma o ha formado parte de algunas de las siguientes organizaciones y/o grupos en el último año? ;P372;PC7;;;;;;;;;;;;;;;;
373;A comienzos de este año, la alcaldía de Bogotá realizó una serie de encuentros ciudadanos para discutir el Plan de Desarrollo de la Ciudad, y convocó a la ciudadanía a que participara dando ideas o asistiendo a los encuentros. ¿Usted participó de cualquier forma en este tema, bien sea asistiendo personalmente, dando ideas a algún representante de su barrio o del lugar donde Usted vive, o mandando ideas sobre el plan de desarrollo de cualquier otra forma? Si ni siquiera se enteró de que se estaba discutiendo el plan de desarrollo, simplemente dígamelo.;P373;PC8;;;;;;;;;;;;;;;;
374;De las siguientes instituciones de la ciudad, ¿cuáles cree Usted que están realizando acciones por mejorar su calidad de vida? ;P374;RC1;RC1;RC1;;P79;;;;P53_B;;;;;;;;
375;¿En cuáles de los siguientes aspectos sabe Usted que ha estado trabajando la empresa privada para mejorar la ciudad? ;P375;;RC2;RC2;;P80;;;;P53_C;;;;;;;;
376;De las siguientes instituciones de la ciudad, ¿cuáles cree Usted que están realizando acciones por mejorar su calidad de vida? (ENC: Lea y rote instituciones.;P376;;;;P79;;;;;;;;;;;;;
377;¿En cuáles de los siguientes aspectos sabe Usted que ha estado trabajando la empresa privada para mejorar la ciudad? (ENC: Lea y rote aspectos.;P377;;;;P80;;;;;;;;;;;;;
378;Veedurías Ciudadanas;P378;;;;;;;;;P53A;;;;;;;;
379;Consejo Distrital de Planeación;P379;;;;;;;;;P53B;;;;;;;;
380;Consejo de Planeación Local;P380;;;;;;;;;P53C;;;;;;;;
381;Junta Distrital de Educación;P381;;;;;;;;;P53D;;;;;;;;
382;Foro educativo Distrital;P382;;;;;;;;;P53E;;;;;;;;
383;Liga de Usuarios de Salud;P383;;;;;;;;;P53F;;;;;;;;
384;Comité de Ética Hospitalaria;P384;;;;;;;;;P53G;;;;;;;;
385;Comité de participación comunitaria en salud;P385;;;;;;;;;P53H;;;;;;;;
386;Consejo Distrital de Seguridad Social en Salud;P386;;;;;;;;;P53I;;;;;;;;
387;Consejo Distrital de la Cultura;P387;;;;;;;;;P53J;;;;;;;;
388;Consejo Local de la Cultura;P388;;;;;;;;;P53K;;;;;;;;
389;Consejo Distrital de la Juventud;P389;;;;;;;;;P53L;;;;;;;;
390;Consejo Local de la Juventud;P390;;;;;;;;;P53M;;;;;;;;
391;Consejo Distrital de Política Social;P391;;;;;;;;;P53N;;;;;;;;
392;Consejo Local de Política Social (CLOPS);P392;;;;;;;;;P53O;;;;;;;;
393;Consejo Distrital de Discapacitados;P393;;;;;;;;;P53P;;;;;;;;
394;Asociación de Usuarios de Servicios Públicos;P394;;;;;;;;;P53Q;;;;;;;;
395;Cuidado y respeto en el uso de los espacios públicos (parques, andenes, teatros);P395;;;;P80A_A;;P53_1;P53_1;P53A;P53A_A;P53A;P55A;;;;;;
396;Cuidado y respeto en el uso de los bienes públicos (canecas, asientos, teléfonos públicos, señalización, tapas de alcantarillado);P396;;;;P80A_B;;P53_2;P53_2;P53B;P53A_B;P53B;P55B;;;;;;
397;Respeto de las normas básicas de convivencia;P397;;;;P80A_C;;P53_3;P53_3;P53C;P53A_C;P53C;P55C;;;;;;
398;Respeto de las normas básicas de tránsito;P398;;;;P80A_D;;P53_4;P53_4;P53D;P53A_D;P53D;P55D;;;;;;
399;Responsabilidad en el pago de impuestos;P399;;;;P80A_E;;P53_5;P53_5;P53E;P53A_E;P53E;P55E;;;;;;
400;Comportamiento de los peatones;P400;;;;P80A_F;;P53_6;P53_6;P53F;P53A_F;P53F;P55F;;;;;;
401; El comportamiento de los conductores;P401;;;;P80A_G;;P53_7;P53_7;P53G;P53A_G;P53G;P55G;;;;;;
402;Cuidado de Transmilenio ;P402;;;;P80A_H;;P53_8;P53_8;P53H;P53A_H;P53H;P55H;;;;;;
403;Acatamiento del pico y placa;P403;;;;P80A_I;;P53_9;P53_9;P53I;P53A_I;P53I;P55I;;;;;;
404;Solidaridad con los demás cuando requieren ayuda;P404;;;;P80A_J;;P53_10;P53_10;P53J;P53A_J;P53J;P55J;;;;;;
405;Cumplimiento de normas de construcción;P405;;;;P80A_K;;P53_11;P53_11;P53K;P53A_K;P53K;P55K;;;;;;
406;El respeto de las normas ambientales;P406;;;;P80A_L;;P53_12;P53_12;P53L;P53A_L;P53L;P55L;;;;;;
407;El respeto a la vida;P407;;;;P80A_M;;P53_13;P53_13;P53M;P53A_M;P53M;P55M;;;;;;
408;El respeto por los ancianos y los niños;P408;;;;P80A_N;;P53_14;P53_14;P53N;P53A_N;;;;;;;;
409;El respeto por los discapacitados;P409;;;;P80A_O;;P53_15;P53_15;P53O;P53A_O;;;;;;;;
410;El respeto por los desplazados por la violencia;P410;;;;P80A_P;;P53_16;P53_16;P53P;P53A_P;;;;;;;;
411;Honestidad en la conexión a los servicios públicos;P411;;;;P80A_Q;;P53_17;P53_17;P53Q;P53A_Q;;;;;;;;
412;Respetar las filas;P412;;;;P80A_R;;;;;P53A_89OT;;;;;;;;
413;Usted asistió o vio por Canal Capital la rendición de cuentas que realizó el Alcalde Lucho Garzón en el mes de Abril, en el que mostraron las cifras de los resultados obtenidos en su primer año de gestión?;P413;;;;;;;;P53B1;P53A_RNIMGUNO;;;;;;;;
414;¿Cree usted que, en general, la convivencia ciudadana ha mejorado, ha empeorado o sigue igual con respecto al 2006? ;P414;;;;;;P53D1;P53D1;;;;;;;;;;
415;¿Por favor dígame a cuáles de los siguientes organismos de participación ciudadana en su localidad o en el Distrito, pertenece usted?;P415;;;;;;;P53A;;;;;;;;;;
416;Considera usted que estos mecanismos de participación son útiles para mejorar la calidad de vida de su comunidad? ;P416;;;;;;;P53A2;;;;;;;;;;
417;¿cuál de las siguientes alternativas describe mejor los espacios de participación en Bogotá?;P417;;;;;;P53A_5;;;;;;;;;;;
418;¿Qué tendría que hacerse para que usted estuviera más dispuesto a participar en las decisiones de gobierno de la ciudad? ;P418;;;;;;P53A_6;;;;;;;;;;;
419;De las siguientes instituciones de la ciudad, ¿cuáles cree Ud. que están haciendo cosas por mejorar su calidad de vida? ;P419;;;;;;P53B;P53B;;;;;;;;;;
420;¿En cuáles de los siguientes aspectos sabe Ud. que ha estado trabajando la empresa Privada para mejorar la ciudad?;P420;;;;;;P53C;P53_C;;;;;;;;;;
421;La alcaldía mayor;P421;RC3_1;;;;;;;;;;;;;;;;
422;La alcaldía local, de esta localidad;P422;RC3_2;;;;;;;;;;;;;;;;
423;Las empresas de servicios públicos;P423;RC3_3;;;;;;;;;;;;;;;;
424;La Policía;P424;RC3_4;;;;;;;;;;;;;;;;
425;El Concejo de la ciudad;P425;RC3_5;;;;;;;;;;;;;;;;
426;El Gobierno Nacional;P426;RC3_6;;;;;;;;;;;;;;;;
427;La Junta Administradora Local de esta localidad;P427;RC3_7;;;;;;;;;;;;;;;;
428;Los medios de comunicación;P428;RC3_8;;;;;;;P53A1;;;;;;;;;
429;La Junta de Acción Comunal de su barrio;P429;RC3_9;;;;;;;P53A2;;;;;;;;;
430;Las Asociaciones cívicas y comunitarias que trabajan en su barrio o localidad;P430;RC3_10;;;;;;;P53_B;;;;;;;;;
431;Las ONG’s que trabajan en su barrio, localidad o en la ciudad;P431;RC3_11;;;;;;;P53_C;;;;;;;;;
432;Los organismos de control: Veeduría, Contraloría, Personería;P432;RC3_12;;;;;;;;;;;;;;;;
433;Los organismos de control: Veeduría, Contraloría, Personería;P433;RC3_13;;;;;;;;;;;;;;;;
434;Las universidades;P434;RC3_14;;;;;;;;;;;;;;;;
435;Los partidos políticos;P435;RC3_15;;;;;;;;;;;;;;;;
436;Cuidado y respeto en el uso de los espacios públicos, parques, andenes, teatros;P436;;RC3_1;RC3_1;;P70A;;;;;;;;;;;;
437;Cuidado y respeto en el uso de los bienes públicos, canecas, asientos, teléfonos públicos, señalización, tapas de alcantarillado, paraderos de buses;P437;;RC3_2;RC3_2;;P70B;;;;;;;;;;;;
438;Respeto de las normas básicas de convivencia;P438;;;;;P70C;;;;;;;;;;;;
439;Respeto de las normas básicas de tránsito;P439;;RC3_3;RC3_3;;P70D;;;;;;;;;;;;
440;Responsabilidad en el pago de impuestos;P440;;RC3_4;RC3_4;;P70E;;;;;;;;;;;;
441;Comportamiento de los peatones;P441;;RC3_5;RC3_5;;P70F;;;;;;;;;;;;
442;Comportamiento de los conductores;P442;;RC3_6;RC3_6;;P70G;;;;;;;;;;;;
443;Acatamiento del pico y placa;P443;;RC3_7;RC3_7;;P70I;;;;;;;;;;;;
444;Solidaridad con los demás cuando requieren ayuda;P444;;;;;P70J;;;;;;;;;;;;
445;Cumplimiento de normas de construcción;P445;;RC3_8;RC3_8;;P70K;;;;;;;;;;;;
446;Respeto de las normas ambientales;P446;;RC3_9;RC3_9;;P70L;;;;;;;;;;;;
447;Honestidad/ legalidad en la conexión a los servicios públicos;P447;;RC3_10;RC3_10;;P70Q;;;;;;;;;;;;
448;Uso de paraderos para tomar los buses y busetas;P448;;RC3_11;RC3_11;;;;;;;;;;;;;;
449;Hacer y respetar las filas para tomar los buses en los paraderos;P449;;RC3_12;RC3_12;;;;;;;;;;;;;;
450;Cuidado deTransmilenio;P450;;RC3_13;RC3_13;;P70H;;;;;;;;;;;;
451;Cuidado del medio ambiente;P451;;RC3_14;;;;;;;;;;;;;;;
452;Tolerar la corrupción;P452;;RC3_15;;;;;;;;;;;;;;;
453;respeto de las normas básicas de convivencia;P453;RC4_1;RC4_1;;;;;;;;;;;;;;;
454;Respeto por la vida;P454;RC4_2;RC4_2;RC4_1;;P70M;;;;;;;;;;;;
